timestamp,sensor,value,threshold,type
2023-02-01 01:31:36+00:00,gas,2447.0,> 2000.0,Maximum Exceeded
2023-02-01 01:32:08+00:00,gas,2438.0,> 2000.0,Maximum Exceeded
2023-02-01 01:32:41+00:00,gas,2441.0,> 2000.0,Maximum Exceeded
2023-02-01 01:33:24+00:00,gas,2421.0,> 2000.0,Maximum Exceeded
2023-02-01 01:33:52+00:00,gas,2423.0,> 2000.0,Maximum Exceeded
2023-02-01 01:34:27+00:00,gas,2396.0,> 2000.0,Maximum Exceeded
2023-02-01 01:35:09+00:00,gas,2387.0,> 2000.0,Maximum Exceeded
2023-02-01 01:35:44+00:00,gas,2403.0,> 2000.0,Maximum Exceeded
2023-02-01 01:36:12+00:00,gas,2425.0,> 2000.0,Maximum Exceeded
2023-02-01 01:36:31+00:00,gas,2408.0,> 2000.0,Maximum Exceeded
2023-02-01 01:37:02+00:00,gas,2412.0,> 2000.0,Maximum Exceeded
2023-02-01 01:37:38+00:00,gas,2431.0,> 2000.0,Maximum Exceeded
2023-02-01 01:38:04+00:00,gas,2459.0,> 2000.0,Maximum Exceeded
2023-02-01 01:38:27+00:00,gas,2457.0,> 2000.0,Maximum Exceeded
2023-02-01 01:39:06+00:00,gas,2422.0,> 2000.0,Maximum Exceeded
2023-02-01 01:39:46+00:00,gas,2406.0,> 2000.0,Maximum Exceeded
2023-02-01 01:40:11+00:00,gas,2433.0,> 2000.0,Maximum Exceeded
2023-02-01 01:40:41+00:00,gas,2405.0,> 2000.0,Maximum Exceeded
2023-02-01 01:41:15+00:00,gas,2395.0,> 2000.0,Maximum Exceeded
2023-02-01 01:41:46+00:00,gas,2381.0,> 2000.0,Maximum Exceeded
2023-02-01 01:42:18+00:00,gas,2404.0,> 2000.0,Maximum Exceeded
2023-02-01 01:42:42+00:00,gas,2403.0,> 2000.0,Maximum Exceeded
2023-02-01 01:43:08+00:00,gas,2343.0,> 2000.0,Maximum Exceeded
2023-02-01 01:43:44+00:00,gas,2322.0,> 2000.0,Maximum Exceeded
2023-02-01 01:44:12+00:00,gas,2345.0,> 2000.0,Maximum Exceeded
2023-02-01 01:44:40+00:00,gas,2354.0,> 2000.0,Maximum Exceeded
2023-02-01 01:45:11+00:00,gas,2341.0,> 2000.0,Maximum Exceeded
2023-02-01 01:45:45+00:00,gas,2349.0,> 2000.0,Maximum Exceeded
2023-02-01 01:46:08+00:00,gas,2306.0,> 2000.0,Maximum Exceeded
2023-02-01 01:46:35+00:00,gas,2331.0,> 2000.0,Maximum Exceeded
2023-02-01 01:47:05+00:00,gas,2291.0,> 2000.0,Maximum Exceeded
2023-02-01 01:47:31+00:00,gas,2293.0,> 2000.0,Maximum Exceeded
2023-02-01 01:48:03+00:00,gas,2325.0,> 2000.0,Maximum Exceeded
2023-02-01 01:48:41+00:00,gas,2325.0,> 2000.0,Maximum Exceeded
2023-02-01 01:49:09+00:00,gas,2314.0,> 2000.0,Maximum Exceeded
2023-02-01 01:49:31+00:00,gas,2350.0,> 2000.0,Maximum Exceeded
2023-02-01 01:50:00+00:00,gas,2343.0,> 2000.0,Maximum Exceeded
2023-02-01 01:50:30+00:00,gas,2356.0,> 2000.0,Maximum Exceeded
2023-02-01 01:51:00+00:00,gas,2362.0,> 2000.0,Maximum Exceeded
2023-02-01 01:51:37+00:00,gas,2368.0,> 2000.0,Maximum Exceeded
2023-02-01 01:52:06+00:00,gas,2373.0,> 2000.0,Maximum Exceeded
2023-02-01 01:52:35+00:00,gas,2375.0,> 2000.0,Maximum Exceeded
2023-02-01 01:52:59+00:00,gas,2380.0,> 2000.0,Maximum Exceeded
2023-02-01 01:53:31+00:00,gas,2404.0,> 2000.0,Maximum Exceeded
2023-02-01 01:54:00+00:00,gas,2396.0,> 2000.0,Maximum Exceeded
2023-02-01 01:54:33+00:00,gas,2440.0,> 2000.0,Maximum Exceeded
2023-02-01 01:55:04+00:00,gas,2426.0,> 2000.0,Maximum Exceeded
2023-02-01 01:55:41+00:00,gas,2434.0,> 2000.0,Maximum Exceeded
2023-02-01 01:56:07+00:00,gas,2436.0,> 2000.0,Maximum Exceeded
2023-02-01 01:56:35+00:00,gas,2445.0,> 2000.0,Maximum Exceeded
