TIME;CO2;TEMPERATURE;HUMIDITY
2023-01-17T23:15:52+00:00;549;17,1;62,3
2023-01-17T23:16:16+00:00;546;17,2;62,31
2023-01-17T23:16:40+00:00;550;17,2;62,32
2023-01-17T23:17:05+00:00;559;16,2;62,33
2023-01-17T23:17:29+00:00;553;13,9;62,34
2023-01-17T23:17:53+00:00;514;12,2;62,35
2023-01-17T23:18:18+00:00;511;11,4;62,36
2023-01-17T23:18:45+00:00;517;11;62,37
2023-01-17T23:19:06+00:00;512;12,6;62,38
2023-01-17T23:19:31+00:00;511;13,5;62,39
2023-01-17T23:19:55+00:00;514;13,8;62,4
2023-01-17T23:20:19+00:00;517;14,2;62,41
2023-01-17T23:20:44+00:00;519;14,6;62,42
2023-01-17T23:21:08+00:00;520;15;62,43
2023-01-17T23:21:32+00:00;519;15,4;62,44
2023-01-17T23:21:57+00:00;520;15,8;62,45
2023-01-17T23:22:59+00:00;521;16,2;62,46
2023-01-17T23:23:32+00:00;700;16,4;62,47
2023-01-17T23:24:04+00:00;700;16,6;62,48
2023-01-17T23:24:36+00:00;700;16,7;62,49
2023-01-17T23:25:08+00:00;700;16,8;62,5
2023-01-17T23:25:40+00:00;700;17,2;62,51
2023-01-17T23:26:12+00:00;700;17,3;62,52
2023-01-17T23:26:45+00:00;700;17,3;62,53
2023-01-17T23:27:17+00:00;700;17,3;62,54
2023-01-17T23:27:49+00:00;700;17,3;62,55
2023-01-17T23:28:21+00:00;700;17,3;62,56
2023-01-17T23:28:53+00:00;700;17,3;62,57
2023-01-17T23:29:26+00:00;522;17,4;62,58
2023-01-17T23:29:58+00:00;517;17,3;62,59
2023-01-17T23:30:30+00:00;512;17,2;62,6
2023-01-17T23:31:02+00:00;528;17,2;62,61
2023-01-17T23:31:34+00:00;545;17,3;62,62
2023-01-17T23:32:06+00:00;540;17,4;62,63
2023-01-17T23:32:39+00:00;541;17,4;62,64
2023-01-17T23:33:11+00:00;541;17,4;62,65
2023-01-17T23:33:43+00:00;541;17,4;62,66
2023-01-17T23:34:15+00:00;600;17,3;62,67
2023-01-17T23:34:48+00:00;600;17,3;62,68
2023-01-17T23:35:20+00:00;600;17,3;62,69
2023-01-17T23:35:52+00:00;600;17,3;62,7
2023-01-17T23:36:24+00:00;600;17,3;62,71
2023-01-17T23:36:56+00:00;540;17,3;62,72
2023-01-17T23:37:28+00:00;538;17,3;62,73
2023-01-17T23:38:01+00:00;538;17,3;62,74
2023-01-17T23:38:33+00:00;537;17,3;62,75
2023-01-17T23:39:05+00:00;537;17,3;62,76
2023-01-17T23:39:37+00:00;537;17,3;62,77
2023-01-17T23:40:09+00:00;537;17,4;62,78
2023-01-17T23:40:41+00:00;537;17,4;62,79
2023-01-17T23:41:14+00:00;536;17,6;62,8
2023-01-17T23:41:46+00:00;537;17,6;62,81
2023-01-17T23:42:18+00:00;537;17,5;62,82
2023-01-17T23:42:50+00:00;537;17,5;62,83
2023-01-17T23:44:09+00:00;536;17,5;62,84
2023-01-17T23:45:11+00:00;542;17,4;62,85
2023-01-17T23:46:14+00:00;536;17,4;62,86
2023-01-17T23:47:17+00:00;536;17,4;62,87
2023-01-17T23:48:20+00:00;536;17,4;62,88
2023-01-17T23:49:22+00:00;536;17,4;62,89
2023-01-17T23:50:25+00:00;535;17,4;62,9
2023-01-17T23:51:28+00:00;535;17,3;62,91
2023-01-17T23:52:31+00:00;535;17,4;62,92
2023-01-17T23:53:33+00:00;535;17,3;62,93
2023-01-17T23:54:36+00:00;534;17,4;62,94
2023-01-17T23:55:39+00:00;534;17,3;62,95
2023-01-17T23:56:41+00:00;534;17,2;62,96
2023-01-17T23:57:44+00:00;532;17,2;62,97
2023-01-17T23:58:47+00:00;532;17,2;62,98
2023-01-17T23:59:50+00:00;531;17,2;62,99
2023-01-18T00:00:52+00:00;531;17,1;62,1
2023-01-18T00:01:55+00:00;531;17,1;62,101
